customer_id,age,gender,location,signup_channel,purchase_amount,purchase_category,orders_count,last_purchase_days
C001,22,Male,Delhi,App,450,Beauty,2,15
C002,29,Female,Mumbai,Website,1200,Fashion,5,7
C003,35,Male,Bangalore,App,2200,Electronics,8,3
C004,41,Female,Delhi,Referral,1800,Home,6,20
C005,31,Male,Pune,Website,900,Fashion,4,12
C006,26,Female,Delhi,App,500,Beauty,3,18
C007,38,Male,Mumbai,Website,2600,Electronics,9,5
C008,45,Female,Bangalore,Referral,1500,Home,7,25
C009,28,Male,Hyderabad,App,700,Electronics,4,10
C010,34,Female,Pune,Website,1100,Fashion,6,6
C011,42,Male,Delhi,Referral,2000,Home,7,14
C012,24,Female,Hyderabad,App,480,Beauty,2,30
C013,37,Male,Chennai,Website,1700,Electronics,6,9
C014,33,Female,Mumbai,App,1300,Fashion,5,4
C015,27,Male,Bangalore,Website,800,Beauty,3,22
C016,48,Female,Delhi,Referral,2400,Home,9,2
C017,36,Male,Pune,App,1600,Electronics,6,11
C018,30,Female,Chennai,Website,950,Fashion,4,8
C019,44,Male,Mumbai,Website,2800,Electronics,10,1
C020,25,Female,Bangalore,App,600,Beauty,3,16
